Name,Moelcular Formula,Dipole,Ref
Potassium bromide,BrK,10.628 ± 0.001,2
Potassium chloride,ClK,10.269 ± 0.001,2
Potassium fluoride,FK,8.585 ± 0.003,2
Potassium hydroxide,HKO,7.415 ± 0.002,16
Potassium iodide,IK,≈10.8,2
Potassium sodium,KNa,2.693 ± 0.014,3
Rubidium bromide,BrRb,≈10.9,2
Rubidium chloride,ClRb,10.510 ± 0.005,2
Rubidium fluoride,FRb,8.5465 ± 0.0005,2
Rubidium iodide,IRb,≈11.5,2
Rubidium sodium,NaRb,3.1 ± 0.3,2
Selenium dioxide,O2Se,2.62 ± 0.05,2
Selenium tetrafluoride,F4Se,1.78 ± 0.09,2
Silicon monosulfide,SSi,1.73 ± 0.09,2
Silicon monoxide,OSi,3.0982,2
Silver(I) bromide,AgBr,5.62 ± 0.03,5
Silver(I) chloride,AgCl,6.08 ± 0.06,5
Silver(I) fluoride,AgF,6.22 ± 0.30,2
Silver(I) iodide,AgI,4.55 ± 0.05,5
Sodium bromide,BrNa,9.1183 ± 0.0006,2
Sodium chloride,ClNa,9.00117,2
Sodium fluoride,FNa,8.156 ± 0.001,2
Sodium iodide,INa,9.236 ± 0.003,2
Stibine,H3Sb,0.12 ± 0.05,1
Strontium oxide,OSr,8.900 ± 0.003,2
Sulfur dichloride,Cl2S,0.36 ± 0.01,3
Sulfur difluoride,F2S,1.05 ± 0.05,2
Sulfur dioxide,O2S,1.63305,3
Sulfur monofluoride,FS,0.794 ± 0.02,3
Sulfur monoxide,OS,1.55 ± 0.02,1
Sulfur oxide (SSO),OS2,1.47 ± 0.03,1
Sulfur tetrafluoride,F4S,0.632 ± 0.003,1
Sulfuryl chloride,Cl2O2S,1.81 ± 0.04,1
Sulfuryl fluoride,F2O2S,1.12 ± 0.02,1
TetrMaobloercaunlea(r10),B4H10,0.486 ± 0.002,3
Tetrafluorohydrazine,F4N2,0.257 ± 0.002,5
(gauche),,,
Tetrafluorosilane–ammonia,F4Si•H3N,5.61 ± 0.02,31
complex,,,
Thallium(I) bromide,BrTl,4.49 ± 0.05,2
Thallium(I) chloride,ClTl,4.54299,2
Thallium(I) fluoride,FTl,4.2282 ± 0.0008,2
Thallium(I) iodide,ITl,4.61 ± 0.07,2
Thionitrosyl chloride (NSCl),ClNS,1.87 ± 0.02,2
Thionitrosyl fluoride (NSF),FNS,1.902 ± 0.012,2
Thionyl chloride,Cl2OS,1.45 ± 0.03,1
Thionyl fluoride,F OS,1.63 ± 0.01,1
Tin(II) oxide,OSn,4.32 ± 0.22,2
Tin(II) sulfide,SSn,3.18 ± 0.16,2
Titanium(II) oxide,OTi,2.96 ± 0.05,5
Trichlorofluorosilane,Cl3FSi,0.49 ± 0.01,2
Trichlorosilane,Cl3HSi,0.86 ± 0.01,2
Trifluoramine oxide,F3NO,0.0390 ± 0.0004,9
"1,1,1-Trifluorodisilane",F3H3Si2,2.03 ± 0.10,3
Trifluoroiodosilane,F3ISi,1.11 ± 0.03,5
Trifluorosilane,F3HSi,1.27 ± 0.03,1
Water,H2O,1.8546 ± 0.0040,3
Water dimer–hydrogen,H4O2•BrH,2.281 ± 0.003,48
bromide complex,,,
Water dimer–hydrogen,H4O2•ClH,2.328 ± 0.003,48
chloride complex,,,
Ytterbium monofluoride,FYb,3.91 ± 0.04,45
Yttrium monoxide,OY,4.524 ± 0.007,26
Zirconium(II) oxide,OZr,2.55 ± 0.01,26
Zirconium(IV) oxide,O2Zr,7.80 ± 0.02,19
Compounds containing carbon,,,
Acenaphthene,C12H10,≈0.85,1
Acetaldehyde,C2H4O,2.750 ± 0.006,3
Acetamide,C2H5NO,3.68 ± 0.03,5
Acetic acid,C2H4O2,1.70 ± 0.03,2
Acetic anhydride,C4H6O3,≈2.8,1
Acetone,C3H6O,2.88 ± 0.03,1
Acetonitrile,C2H3N,3.92519,5
Acetophenone,C8H8O,3.02 ± 0.06,1
Acetyl chloride,C2H3ClO,2.72 ± 0.14,1
