smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
O,h2o,0.0,64.0,2.977387,135.0,15.0
O=[N+]([O-])c1ccc(Cl)cc1,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Nc1ccc([N+](=O)[O-])cc1,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
O=[N+]([O-])c1ccc(O)cc1,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
CN(C)c1ccc(C=O)cc1,4-(dimethylamino)-benzaldehyde,0.0,69.4,43.5,92.0,117.0
CCc1ccc([N+](=O)[O-])cc1,4-ethylnitrobenzene,0.0,49.3,13.4,36.3,22.6
CNc1ccc([N+](=O)[O-])cc1,p-nitro-n-methylaniline,0.0,85.4,12.4,111.0,17.8
COc1ccc([N+](=O)[O-])cc1,p-nitroanisole,0.0,64.6,17.3,53.3,32.3
CC(C)c1ccc(C(C)C)cc1,"1,4-bis(1-methylethyl)-benzene",0.0,27.9,1.833772,7.389358,1.320689
CC(=O)c1ccc([N+](=O)[O-])cc1,p-nitroacetophenone,0.0,74.3,23.8,68.5,46.4
O=C(Cl)c1ccc(C(=O)Cl)cc1,terephthaloylchloride,0.0,46.5,-0.480836,25.5,-1.166169
CN(C)c1ccc([N+](=O)[O-])cc1,"n,n-dimethyl-4-nitrobenzeneamine",0.0,75.6,34.4,78.4,74.2
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,"1,4-dinitrobenzene",0.0,71.1,3.478984,53.0,4.028503
O=C=Nc1ccc([N+](=O)[O-])cc1,1-isocyanato-4-nitrobenzene,0.0,60.3,7.831009,43.9,13.6
C=CC1CC=CCC1,4-vinylcyclohexene,0.0,24.6,5.62441,9.583332,5.002747
CCc1ccccc1,ethylbenzene,0.0,24.3,0.443754,7.058933,0.224876
C=Cc1ccccc1,styrene,0.0,30.3,-2.651255,10.2,-1.822904
C=Cc1ccncc1,4-vinylpyridine,0.0,48.9,26.7,73.4,104.0
ClCc1ccccc1,(chloromethyl)-benzene,0.0,40.2,-3.087381,17.4,-2.704899
N#Cc1ccccc1,benzonitrile,0.0,47.3,12.6,40.7,26.1
N#Cc1ccncc1,4-pyridinecarbonitrile,0.0,62.0,25.7,73.8,68.5
O=Cc1ccccc1,benzaldehyde,0.0,48.3,20.6,49.5,47.5
SCc1ccccc1,benzenemethanethiol,0.0,44.8,2.443547,24.8,5.393928
N#Cc1cccnc1,3-cyanopyridine,0.0,63.5,25.9,73.9,65.7
CNC1CCCCC1,n-methylcyclohexanamine,0.0,34.8,36.4,88.7,171.0
CNc1ccccc1,n-methylaniline,0.0,44.8,-3.623776,32.5,-12.1
ON=C1CCCCC1,cyclohexanoneoxime,0.0,57.6,13.0,94.1,15.9
N#CC12CCC(CC1)C2,1-norbornylisocyanide,0.0,43.2,28.4,43.1,48.0
CC(C#N)(C#N)C#N,"1,1,1-ethanetricarbonitrile",0.0,70.5,-5.305871,57.7,-10.7
CC(=O)Nc1ccc([N+](=O)[O-])cc1,4-nitroacetanilide,0.0,102.0,8.995223,143.0,-12.5
O=C=Nc1ccc(Cl)cc1,1-chloro-4-isocyanatobenzene,0.0,35.9,-5.505637,16.7,-5.251147
CCCc1ccc(OC)cc1,1-methoxy-4-propylbenzene,0.0,39.0,7.806819,20.5,12.5
CCCCc1ccccc1,butylbenzene,0.0,26.1,0.718761,7.132747,0.327931
O=CCCc1ccccc1,benzenepropanal,0.0,59.1,22.2,50.0,46.3
O=CC=Cc1ccccc1,3-phenyl-2-propenal,0.0,64.2,30.1,78.0,82.8
c1ccc2c(c1)Cc1ccc3ccccc3c1-2,7h-benzo(c)fluorene,0.0,46.4,-6.341611,15.5,-5.029763
c1ccc2c(c1)ccc1sc3ccccc3c12,"benzo(b)naphtho(1,2-d)thiophene",0.0,44.5,-11.1,16.5,-8.865969
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,perchlorobiphenyl,0.0,27.8,-2.915079,4.421299,-1.120416
Clc1ccccc1-c1ccccc1,2-chlorobiphenyl,0.0,38.3,-6.37697,12.7,-4.529022
c1ccc2c(c1)cc(-c1cc3ccccc3c3ccccc13)c1ccccc12,"9,9'-biphenanthrene",0.0,66.6,-13.8,22.6,-10.2
S=C1NCCCN1,"n,n'-trimethylenethiourea",0.0,101.0,36.9,157.0,82.2
CN1C(=O)C(=O)c2ccccc21,"n-methylindol-2,3-dione",0.0,79.6,39.7,88.7,85.9
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,0.0,41.3,-7.578367,13.0,-5.007626
Cc1nc(C)c(C)o1,trimethyloxazole,0.0,48.0,37.3,77.0,119.0
c1ccc2cc3c(cc2c1)Cc1c-3ccc2ccccc12,"1,2,5,6-dibenzofluorene",0.0,54.1,-7.928814,16.7,-5.295914
Nc1ccnnc1,4-pyridazinamine,0.0,104.0,32.6,219.0,152.0
Brc1cn[nH]c1,4-bromopyrazole,0.0,66.3,-19.7,118.0,-55.8
O=[N+]([O-])c1cn[nH]c1,4-nitropyrazole,0.0,96.2,-26.3,168.0,-125.0
C1=Cc2cccc3cccc1c23,acenaphthylene,0.0,34.9,-5.580107,11.5,-3.822992
O=C1SCCS1,"1,3-dithiolan-2-one",0.0,46.5,8.681026,35.9,17.5
O=C1CC=CO1,3h-furan-2-one,0.0,56.9,16.8,57.1,35.4
CN(C)[Si](C)(C)C,pentamethylsilanamine,0.0,23.6,12.8,24.9,37.4
O=C1CC=CS1,2(3h)-thiophenone,0.0,46.7,9.993976,40.9,22.0
C=CCCC=O,4-pentenal,0.0,50.4,24.9,48.6,49.4
C#CC(C)Cl,3-chloro-1-butyne,0.0,40.3,-10.2,27.8,-18.9
ClC1(Cl)CCCCC1,"1,1-dichlorocyclohexane",0.0,26.1,2.292177,7.950173,1.173711
C=C(C)C1CC=C(C=O)CC1,perillaldehyde,0.0,57.7,36.9,65.9,79.7
C=CCC1CCCCC1,allylcyclohexane,0.0,16.6,2.564554,4.819947,2.121939
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,"1,2-7,8-dibenzophenanthrene",0.0,56.1,-14.3,21.3,-11.6
Cc1ccc(C)c2c(C)cccc12,"1,4,5-trimethylnaphthalene",0.0,33.4,-0.835005,9.419778,-0.478358
CC1CCC(C)O1,"2,5-dimethyltetrahydrofuran",0.0,32.1,29.8,51.0,77.3
CCCC=CCl,1-chloro-1-pentene,0.0,22.1,-1.685639,7.476321,-2.026344
CC=C1CCCC1,ethylidenecyclopentane,0.0,14.7,2.990844,4.761487,2.754796
CCC1=CCCC1,1-ethylcyclopentene,0.0,13.6,2.501986,4.184079,2.352851
CC1OC1C,"trans-2,3-dimethyloxirane",0.0,36.3,27.0,45.9,57.8
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,"1,2,3,4-dibenzanthracene",0.0,56.1,-14.4,21.7,-12.1
c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,"dibenz(a,c)acridine",0.0,59.3,-4.941575,33.6,4.838346
CC1CCO1,"1,3-butyleneoxide",0.0,35.4,35.1,60.6,91.8
c1ccc2c(c1)c1ccccc1c1ccccc21,triphenylene,0.0,48.2,-11.9,18.8,-10.2
C=C1CC(=O)OC1=O,itaconicanhydride,0.0,74.1,12.2,67.8,21.8
C1=CC(=C(c2ccccc2)c2ccccc2)C=C1,"6,6-diphenylfulvene",0.0,52.6,-2.701566,19.8,-0.85132
CC1=Cc2ccccc2C1,2-methyl-1h-indene,0.0,31.8,1.06931,10.2,0.673563
Cc1ccc(C#N)c(C)c1,"2,4-dimethylbenzonitrile",0.0,48.4,19.2,42.0,36.2
CCCSSC,methyl-propyl-disulfide,0.0,31.4,4.912494,14.7,5.702759
c1ccc2c(c1)ccc1c3ccccc3ccc21,chrysene,0.0,47.9,-10.8,17.2,-8.502139
COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",0.0,18.7,-6.074414,7.446084,-4.01566
CC1CCCC(C)C1,"trans-1,3-dimethylcyclohexane",0.0,8.476598,-0.057103,0.759076,-0.011807
CC1CCC(C)CC1,"trans-1,4-dimethylcyclohexane",0.0,8.480126,0.021699,0.774702,0.003845
[O-][n+]1onc2c1CCCC2,"4,5,6,7-tetrahydrobenzofurazan-2-oxide",0.0,49.4,19.8,34.1,26.8
N#Cc1ccccc1CBr,2-(bromomethyl)benzonitrile,0.0,61.4,5.712219,46.6,14.9
O=C(Cl)OCCl,chloromethylchloroformate,0.0,40.6,-12.0,29.5,-17.0
CCCC(C)CC(C)C,"2,4-dimethylheptane",0.0,11.4,-0.148194,1.109634,-0.037962
C=C(C)CC(C)C,"2,4-dimethyl-1-pentene",0.0,17.3,2.574607,5.055556,2.305667
CCN(CC)c1ccc([N+](=O)[O-])cc1,"n,n-diethyl-4-nitroaniline",0.0,76.9,36.9,80.7,79.5
CCC(C)CCC(C)C,"2,5-dimethylheptane",0.0,11.2,-0.200838,1.054383,-0.050769
CNc1cccc2ccccc12,n-methyl-1-naphthalenamine,0.0,51.2,-9.706819,35.0,-23.6
COc1cccc2ccccc12,1-methoxynaphthalene,0.0,40.8,-0.492263,15.2,0.922504
c1ccc2cc3c(ccc4cc5ccccc5cc43)cc2c1,pentaphene,0.0,55.5,-12.2,18.7,-8.581187
ON=C1C=CCCC1,2-cyclohexen-1-one-oxime,0.0,62.1,8.698791,96.8,5.460428
CC1CC(C)(C)CCC1=O,"2,4,4-trimethylcyclohexanone",0.0,47.2,36.8,62.7,83.7
C=CC(Cl)(Cl)Cl,"3,3,3-trichloro-1-propene",0.0,21.6,-7.054356,8.586755,-5.863132
Cc1ccnc(C)c1C,"2,3,4-trimethylpyridine",0.0,44.6,36.5,79.4,136.0
Cc1ccccc1CC#N,o-tolylacetonitrile,0.0,59.7,12.1,49.1,26.4
N#Cc1cccc(N)c1,3-aminobenzonitrile,0.0,76.8,-5.651671,91.5,-14.0
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,"dibenz(a,j)anthracene",0.0,55.4,-12.8,19.5,-9.566634
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3nc12,"3,4,5,6-dibenzacridine",0.0,53.6,-6.883123,21.4,-1.616759
Nc1nc(=O)[nH]cc1Br,4-amino-5-bromo-2-hydroxypyrimidine,0.0,138.0,29.0,309.0,124.0
COC(F)(F)C(F)(F)F,pentafluoroethylmethylether,0.0,19.3,-5.798788,7.388519,-3.877721
Cc1c(C)c(C)c(N)c(C)c1C,"2,3,4,5,6-pentamethylbenzenamine",0.0,50.9,9.786315,50.4,28.1
Nc1cccc2c(N)cccc12,"1,5-diaminonaphthalene",0.0,92.2,-19.3,104.0,-33.4
c1ccc2nc3c(ccc4ccccc43)cc2c1,benz(a)acridine,0.0,52.4,1.620516,31.9,16.7
c1ccc2nc3ccc4ccccc4c3cc2c1,benz(c)acridine,0.0,61.6,14.9,67.0,77.5
FC(F)(F)C(Br)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-bromo-propane",0.0,25.8,-23.9,33.3,-45.4
Cn1c(=S)sc2ccccc21,"3-methyl-1,3-benzothiazole-2(3h)-thione",0.0,55.5,8.136059,36.7,14.5
CSc1ccncc1,4-(methylthio)pyridine,0.0,55.9,29.4,81.1,113.0
c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,"dibenz(a,h)acridine",0.0,60.2,-2.054405,35.5,12.3
O=[N+]([O-])c1cc(F)cc(F)c1,"1,3-difluoro-5-nitrobenzene",0.0,49.1,-2.707958,36.4,-4.580963
CCNC(C)(C)C,n-ethyl-2-methylpropan-2-amine,0.0,34.3,33.4,82.0,162.0
COC(=O)c1cc(C)ccc1O,petunial,0.0,52.0,14.9,38.8,27.0
c1ccc2c(c1)cnc1ccccc12,phenanthridine,0.0,54.7,18.7,65.7,81.9
C1C2CC3C4CC5CC(C14)C(C2)C3C5,diamantane,0.0,7.484588,0.030224,0.517552,0.013777
c1ccc(CC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,"1,1,1,2-tetraphenylethane",0.0,66.5,-3.305181,20.8,-2.698135
O=C1CSC(=O)N1,"2,4-thiazolidinedione",0.0,92.5,-5.469019,142.0,-55.3
S=C1CCCN1,2-azacyclopentanthione,0.0,77.3,20.8,106.0,27.0
c1cnc2ccc3ncccc3c2c1,"4,7-phenanthroline",0.0,70.7,40.4,113.0,150.0
c1ccc2c(c1)nnc1ccccc12,"5,6-diazaphenanthrene",0.0,65.8,33.1,90.5,110.0
Cc1ccc(CCl)cc1,p-(chloromethyl)toluene,0.0,40.9,-0.83906,17.3,-0.758624
ClCc1ccc(Cl)cc1,1-chloro-4-(chloromethyl)benzene,0.0,42.9,-8.023697,20.7,-7.368585
Cc1ccc(C#N)cc1,4-methylbenzonitrile,0.0,48.2,16.3,42.0,31.8
Cc1ccc(C=O)cc1,4-methylbenzaldehyde,0.0,50.0,25.4,53.8,57.6
O=Cc1ccc(Cl)cc1,4-chlorobenzaldehyde,0.0,50.4,15.9,50.3,39.4
CCc1ccc(C)nc1,2-methyl-5-ethylpyridine,0.0,43.5,33.9,74.9,125.0
COc1ccc(C)cc1,4-methylanisole,0.0,37.2,7.287492,20.2,12.1
Cc1ccc2occ(C)c2c1,"3,5-dimethylbenzofuran",0.0,34.3,-0.699586,14.8,0.15229
C#CC=CC=C,"1,3-hexadien-5-yne",0.0,37.6,-8.738032,22.9,-13.8
c1ccc2c(c1)ccc1cccnc12,benzo(h)quinoline,0.0,47.2,7.311927,37.1,31.0
c1cnc2c(c1)ccc1ncccc12,"1,7-phenanthroline",0.0,61.5,31.0,83.8,108.0
CC(C)C=CCl,1-chloro-3-methyl-1-butene,0.0,22.2,-1.758694,7.476697,-2.003343
Cc1cnc(C)o1,"2,5-dimethyloxazole",0.0,48.5,33.9,73.4,107.0
N#CC12CC3CC(CC(C3)C1)C2,1-cyanoadamantane,0.0,42.3,29.0,41.7,47.5
CC(C)(Cl)Br,2-bromo-2-chloropropane,0.0,28.7,-1.158015,10.1,-1.338178
O=c1sccs1,"1,3-dithiol-2-one",0.0,38.9,4.125889,35.8,8.25932
CCN1C(=O)CCC1=O,"1-ethyl-2,5-pyrrolidinedione",0.0,80.9,51.9,101.0,112.0
FC(F)(F)I,trifluoroiodomethane,0.0,8.803113,-3.80626,3.368975,-2.592483
c1cc2cc(c1)CCc1cccc(c1)CC2,"(2,2)metacyclophane",0.0,38.4,3.4164,11.9,2.262009
O=[N+]([O-])c1ccc2[nH]nnc2c1,5-nitrobenzotriazole,0.0,104.0,-21.2,175.0,-124.0
C[Si](C)(C)CCl,(chloromethyl)trimethylsilane,0.0,28.2,2.086744,10.0,1.729015
C[Si](C)(C)CCCCl,(3-chloropropyl)trimethylsilane,0.0,33.1,4.285409,11.8,3.355177
CC1=NCCS1,"4,5-dihydro-2-methylthiazole",0.0,45.9,30.4,62.4,88.0
CCCC(Cl)CC,3-chlorohexane,0.0,25.2,4.891689,9.464162,4.078856
FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,"1,1,1,3,3-pentachloro-2,2,3-trifluoropropane",0.0,12.1,-3.937684,2.783425,-1.569786
FC(OC(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethoxy)ethane",0.0,23.0,-21.6,30.7,-42.1
O=CC=CC=O,trans-butenedial,0.0,71.8,28.0,76.2,56.6
FCC(Cl)(Cl)Cl,"1,1,1-trichloro-2-fluoroethane",0.0,28.1,-10.6,16.0,-11.9
Fc1cc(F)c(F)c(F)c1,"1,2,3,5-tetrafluorobenzene",0.0,24.7,-9.944013,14.0,-12.0
CSCCl,chlorodimethylsulfide,0.0,39.1,-1.615693,22.3,-2.834802
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,perfluoro-tert-butanol,0.0,33.2,-43.6,91.2,-174.0
CC(=O)c1nccnc1C,2-acetyl-3-methylpyrazine,0.0,62.7,39.0,78.3,91.0
Cc1nc2ccccc2nc1C,"2,3-dimethylquinoxaline",0.0,57.7,36.7,82.1,117.0
Cc1cc(Cl)cc2c1C(=O)C(=C1Sc3cc(Cl)cc(C)c3C1=O)S2,helindone-pink-cn,0.0,69.0,9.833412,49.3,20.2
c1ccc2c(c1)Cc1c-2ccc2ccccc12,11h-benzo(a)fluorene,0.0,46.3,-5.442001,14.5,-3.731951
C=CC#CCCC,1-hepten-3-yne,0.0,29.6,2.351254,11.1,1.843747
C=C(C)c1ccc(C(C)C)cc1,1-(1-methylethenyl)-4-(1-methylethyl)benzene,0.0,32.7,0.477833,9.576029,0.513133
c1ccc2c(c1)ccc1c3ccccc3sc21,"benzo(b)naphtho(2,1-d)thiophene",0.0,43.5,-9.782564,14.7,-6.744621
c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,"13h-dibenzo(a,i)carbazole",0.0,72.0,-33.0,64.7,-83.6
CC1CC1C,"trans-1,2-dimethylcyclopropane",0.0,12.1,0.459992,2.405715,0.379821
Clc1cccnc1Cl,"2,3-dichloropyridine",0.0,37.0,4.956491,32.5,19.4
Clc1cccc(Cl)n1,"2,6-dichloropyridine",0.0,36.6,0.234672,28.2,7.817304
CC1CCCC(C)(C)C1=O,"2,2,6-trimethylcyclohexanone",0.0,41.8,32.4,52.6,69.1
Cc1nccnn1,"3-methyl-1,2,4-triazine",0.0,66.2,41.4,95.2,111.0
CCCC1CC1,propylcyclopropane,0.0,13.8,0.957892,2.964818,0.646817
[O-][n+]1cc[n+]([O-])c2ccccc21,quindoxin,0.0,97.6,49.5,135.0,122.0
[O-][n+]1cc[n+]([O-])cc1,"pyrazine-1,4-dioxide",0.0,115.0,53.5,180.0,147.0
c1ccc2oc3cc4ccccc4c-3cc2c1,"2,3-5,6-dibenzoxalene",0.0,48.7,-6.57145,19.1,-5.270613
N#CC(C#N)(C#N)C#N,methanetetracarbonitrile,0.0,64.9,-24.0,67.4,-59.9
CN(C)C(=O)C(C)(C)C,"n,n-dimethylpivalamide",0.0,56.0,52.6,98.3,148.0
Cc1cnc2ccccc2c1C,"3,4-dimethylquinoline",0.0,50.1,30.2,72.1,111.0
Cc1cc(C)c2ncccc2c1,"6,8-dimethylquinoline",0.0,43.5,18.4,49.0,64.7
CC1=CCC2CC1C2(C)C,dl-pin-2(3)-ene,0.0,14.9,1.094419,3.439665,1.312416
c1ccc2c(c1)Cc1cccnc1-2,4-azafluorene,0.0,53.1,21.3,61.1,79.8
Nc1ccc2c(c1)CCC2,5-indanamine,0.0,55.0,-0.175986,57.3,5.376346
CN(C)C(=S)S[As]1(C)=S=C(N(C)C)S1,urbacid,0.0,76.0,9.566856,38.4,11.3
Cc1cc2ccccc2oc1=O,3-methyl-2h-1-benzopyran-2-one,0.0,61.9,29.3,68.0,67.8
Cc1ccc2ccc(=O)oc2c1,7-methyl-2h-1-benzopyran-2-one,0.0,65.2,32.0,76.0,76.3
Clc1c(Cl)c(Cl)c2c(oc3ccccc32)c1Cl,"1,2,3,4-tetrachlorodibenzofuran",0.0,31.3,-4.538854,9.82321,-3.463031
c1cc(N2CCCC2)ccn1,4-pyrrolidinopyridine,0.0,59.9,53.5,116.0,206.0
Clc1cncc(Cl)c1,"3,5-dichloropyridine",0.0,37.6,7.860351,40.8,30.7
COC(=O)c1ccncc1,i-nicotinicacidmethylester,0.0,66.1,38.6,85.6,103.0
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,hexacosamethyldodecasiloxane,0.0,125.0,23.5,54.5,38.8
O=C1C(=C2Nc3c(Br)cc(Br)cc3C2=O)Nc2c(Br)cc(Br)cc21,"5,5',7,7'-tetrabromoindigo",0.0,85.1,10.1,73.9,25.2
CNC(=S)N(C)C,trimethylthiourea,0.0,78.5,30.1,104.0,53.9
CN(C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,4'-nitro-4-dimethylaminoazobenzene,0.0,93.4,25.2,75.9,52.0
CC(C)(C)c1cc(C(C)(C)C)c(N=O)c(C(C)(C)C)c1,"2,4,6-tri-t-butyl-nitrosobenzene",0.0,41.2,16.0,30.5,34.6
O=C1c2ccccc2C(=O)c2c1ccc1ccccc21,"benz(a)anthracene-7,12-dione",0.0,67.9,19.8,56.3,41.0
CC(C)(C)P,tert-butylphosphine,0.0,18.5,10.7,16.3,19.7
C1CCN(SN2CCCCC2)CC1,"1,1'-thiobispiperidine",0.0,35.8,20.8,29.4,33.2
CCCCCC=CC=CC=O,"2-trans,4-trans-decadienal",0.0,61.1,41.0,81.2,104.0
NC1CCC1,cyclobutanamine,0.0,43.9,38.3,105.0,182.0
Nc1cccc2c1C(=O)NC2=O,"1h-isoindole-1,3(2h)-dione,4-amino-",0.0,106.0,-5.288282,165.0,-36.7
CC1c2ccccc2-c2ccccc21,9-methyl-9h-fluorene,0.0,38.7,-2.303373,11.7,-1.648167
CC#CS(=O)(=O)c1ccccc1,phenylpropynylsulfone,0.0,75.8,19.8,63.5,36.2
O=C1CC(=O)NC=N1,"4,6(1h,5h)-pyrimidinedione",0.0,135.0,11.4,237.0,-2.972851
c1ccc2cnncc2c1,phthalazine,0.0,73.1,51.2,125.0,171.0
c1ccc2nnccc2c1,cinnoline,0.0,64.9,41.0,102.0,133.0
c1ccc2ncncc2c1,quinazoline,0.0,60.5,37.0,91.5,120.0
O=[N+]([O-])c1cccnc1,3-nitropyridine,0.0,62.5,19.4,65.1,50.5
CC1CCC(C)C1,"(z)-1,3-dimethylcyclopentane",0.0,8.121132,-0.144554,0.748261,-0.030446
C1=Cc2ccccc2OC1,"1,2-benzopyran",0.0,40.4,4.033284,21.3,9.066815
c1cnc2cccnc2c1,"1,5-naphthyridine",0.0,61.4,41.2,100.0,140.0
c1ccc2nncnc2c1,"1,2,4-benzotriazine",0.0,65.7,36.5,88.0,98.3
COc1ccco1,2-methoxyfuran,0.0,39.8,3.195532,22.5,4.337186
FS(F)(F)(F)(F)F,sf6,0.0,1.312619,-0.201562,0.068166,-0.01796
C#CC(Cl)Cl,"3,3-dichloropropyne",0.0,37.6,-25.3,38.7,-45.6
CN1CCCCCC1=O,1-methylazepan-2-one,0.0,61.9,67.8,125.0,201.0
O=CCl,formylchloride,0.0,31.0,-13.2,29.5,-24.9
ClCC=C(Cl)Cl,"1,1,3-trichloropropene",0.0,30.3,-6.784505,15.3,-7.233222
Cc1cc(C)c(C#N)c(C)c1,"2,4,6-trimethylbenzonitrile",0.0,48.8,22.0,42.5,40.6
C=C=CCCl,"4-chloro-1,2-butadiene",0.0,36.2,-3.999732,17.9,-4.131851
c1ccc(-c2ccc3c4ccccc4cc-3o2)cc1,"2-phenylindeno(2,1-b)oxine",0.0,55.2,-7.760055,21.9,-6.898934
Cc1oc2cc3ccccc3c-2c(C)c1C,"4,5,6-trimethyl-2,3-benzoxalene",0.0,48.6,3.809515,18.6,2.921444
CN1CCCC1=S,n-methylthiopyrrolidinone,0.0,63.7,38.0,66.7,70.9
c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylsilane,0.0,62.8,-6.031634,18.3,-4.118557
FC(F)=C(F)OC(F)(F)C(F)(F)F,trifluoro(pentafluoroethoxy)ethene,0.0,8.815367,-2.630265,1.809268,-0.963234
CCc1ccc(CC)cc1,"1,4-diethylbenzene",0.0,25.3,1.892562,7.077532,1.297017
C=Cc1ccc(C=C)cc1,p-divinylbenzene,0.0,37.2,-4.082773,13.3,-2.802645
N#Cc1ccc(C=O)cc1,4-formylbenzonitrile,0.0,71.9,24.1,69.7,45.7
ON=C1C=CC(=NO)C=C1,"2,5-cyclohexadiene-1,4-dione-dioxime",0.0,95.9,-40.1,179.0,-159.0
c1ccc2c(c1)=c1ccccc1=2,biphenylene,0.0,34.0,-5.225921,10.8,-3.583387
O=CN1CCCCC1,1-piperidinecarboxaldehyde,0.0,60.2,61.0,111.0,168.0
c1ccc2nc3ccccc3cc2c1,acridine,0.0,53.8,19.2,64.5,84.5
CC1CCCOC1,3-methyltetrahydropyran,0.0,30.8,27.9,46.1,67.1
c1ccc2c(c1)Cc1ccccc1S2,thioxanthene,0.0,42.1,-4.364873,14.2,-2.762448
C=CC=CC=C,"cis-1,3,5-hexatriene",0.0,28.4,-1.338611,10.0,-0.94027
CC(C)CC(C)CC(C)C,"2,4,6-trimethylheptane",0.0,12.9,-0.138716,1.303279,-0.040099
CC1CCC(C)C1C,"cis,cis,cis-1,2,3-trimethylcyclopentane",0.0,8.791661,-0.225729,0.809577,-0.050473
CC1CC(C)C(C)C1,"1a,2a,4a-1,2,4-trimethylcyclopentane",0.0,8.89485,-0.156346,0.826648,-0.035583
c1ccc2c(c1)Oc1ccccc1O2,dibenzo-p-dioxin,0.0,41.9,-3.694028,17.7,-1.743974
c1ccc2c(c1)Oc1ccccc1S2,phenothioxin,0.0,41.2,-5.900474,16.6,-3.539444
CC(C)c1ccc(Cl)cc1,1-chloro-4-(1-methylethyl)benzene,0.0,27.3,-3.841227,8.146715,-2.768602
C=CC1=CCCCC1,1-vinylcyclohexene,0.0,21.6,3.734496,7.301743,2.986616
Cc1ccc(C)c2ncccc12,"5,8-dimethylquinoline",0.0,42.8,17.3,46.2,59.4
CC(C)NCl,n-chloro-2-propanamine,0.0,39.4,3.828154,45.7,11.5
S=c1cccc[nH]1,2(1h)-pyridinethione,0.0,93.9,8.090898,145.0,-3.871004
Nc1cc2c3ccccc3ccc2c2ccccc12,6-aminochrysene,0.0,78.6,-25.0,66.0,-40.9
CC12CC3CC4C5CC(CC41)CC2C5C3,1-methyldiadamantane,0.0,9.15164,0.032379,0.735786,0.007034
CC1=CC2CC1C1C(C)=CCC21,methylcyclopentadienedimer,0.0,22.2,3.700464,7.436582,3.832008
CC1=CCC=C1,methylcyclopentadiene,0.0,22.8,2.551693,8.645087,2.373198
CC1(C)CN1,"2,2-dimethylethylenimine",0.0,43.0,37.7,91.6,150.0
COc1cc(Cl)c(OC)cc1Cl,chloroneb,0.0,51.5,2.877053,30.0,7.629948
C1CC1C(C1CC1)(C1CC1)C(C1CC1)(C1CC1)C1CC1,hexacyclopropylethane,0.0,32.6,3.670213,8.380696,2.48296
Oc1c(F)c(F)nc(F)c1F,2693-66-5,0.0,52.8,-39.6,103.0,-165.0
CCCc1ccc(N)cc1,4-propylbenzenamine,0.0,57.1,-2.804601,57.2,-0.624914
O=NCl,nitrosylchloride,0.0,36.6,-6.10646,27.2,-12.4
O=S(=O)(F)F,sulfurylfluoride,0.0,15.3,-4.259289,7.622739,-5.283844
N#CC(C#N)=Cc1ccccc1,benzalmalononitrile,0.0,68.8,13.8,57.2,23.2
c1cc2ccsc2cn1,6-azathianaphthene,0.0,50.0,21.8,72.8,92.2
c1cc2cc[nH]c2cn1,6-azaindole,0.0,76.3,7.071795,145.0,62.2
c1cc2[nH]ccc2cn1,5-azaindole,0.0,76.6,9.308127,148.0,73.5
c1ccc2[nH]ncc2c1,indazole,0.0,66.3,-7.064585,104.0,-16.7
c1ccc2nocc2c1,benzisoxazole,0.0,50.0,9.63738,52.0,31.8
c1ccc2occc2c1,benzofuran,0.0,34.7,-4.823423,16.6,-4.398071
c1ccc2oncc2c1,"1,2-benzisoxazole",0.0,46.8,7.407121,41.2,21.5
FC(Cl)(Cl)SCl,dichlorofluoromethanesulfenylchloride,0.0,10.4,-2.185372,2.029223,-0.872303
Cc1ccc(C)c2c(C)ccc(C)c12,"1,4,5,8-tetramethylnaphthalene",0.0,34.5,-0.216554,9.711516,0.064785
