smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
Cn1ccc(=O)n(C)c1=O,"1,3-dimethyl-2,4(1h,3h)-pyrimidinedione",0.0,93.0,59.4,134.0,145.0
Cc1ccc2c(c1)CCC2,"2,3-dihydro-5-methyl-1h-indene",0.0,23.7,2.530634,6.930077,1.782337
Cc1ccc(C(=O)Cl)cc1,4-methylbenzoylchloride,0.0,36.6,2.447322,18.3,4.197366
COc1ccc(C#N)cc1,4-methoxybenzonitrile,0.0,62.0,19.2,55.5,38.8
Cc1cn(C)c2ccccc12,"1,3-dimethyl-1h-indole",0.0,40.3,1.587257,15.8,0.787286
Cn1cnc2c(=O)[nH]cnc21,9-methylpoxanthine,0.0,136.0,54.5,259.0,157.0
Cc1cc2ccccc2n1C,"1,2-dimethylindole",0.0,42.4,4.601718,16.9,3.672667
Cc1ccc2nc(C)ccc2c1,"2,6-dimethylquinoline",0.0,48.7,27.2,68.5,106.0
CCc1ccc(CC)c(CC)c1,"1,2,4-triethylbenzene",0.0,26.5,3.103599,7.38593,2.29431
Cc1cc(O)cc(C)c1Cl,"4-chloro-3,5-dimethylphenol",0.0,57.1,-25.0,81.4,-89.7
Cc1cc(C)c(N)c(C)c1,"2,4,6-trimethylbenzenamine",0.0,51.3,4.594989,49.0,14.4
Oc1c(Cl)cc(Cl)cc1Cl,"2,4,6-trichlorophenol",0.0,42.5,-21.8,52.0,-61.3
CCN(CC)C(=O)Cl,diethylcarbamicchloride,0.0,44.4,18.9,35.5,31.0
C=CN1CCCC1=O,1-vinyl-2-pyrrolidinone,0.0,61.3,44.7,84.2,110.0
c1ccc(-c2noc(-c3ccccc3)n2)cc1,"3,5-diphenyl-1,2,4-oxadiazole",0.0,56.9,7.957171,37.9,22.4
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,"1,2,4,5-benzenetetracarboxylicanhydride",0.0,106.0,-1.708792,85.5,-9.485545
Cc1ccc(C)c([N+](=O)[O-])c1,"1,4-dimethyl-2-nitrobenzene",0.0,47.9,14.5,34.8,24.1
Cc1ccc(N)c([N+](=O)[O-])c1,2-nitro-p-toluidine,0.0,74.2,0.568072,94.7,-7.563306
Nc1ccc(Cl)cc1[N+](=O)[O-],4-chloro-2-nitro-benzenamine,0.0,75.1,-14.2,95.3,-42.2
CC(=O)c1ccc(C)cc1C,"1-(2,4-dimethylphenyl)ethanone",0.0,50.2,27.4,56.3,67.4
CC(C)=C1CCC(C)CC1=O,pulegone,0.0,49.2,41.5,71.2,101.0
CCc1ccccc1Cl,1-chloro-2-ethylbenzene,0.0,24.6,-3.392398,7.184874,-2.33583
Brc1cccc2ccccc12,1-bromonaphthalene,0.0,31.1,-7.270535,10.3,-4.838174
Cc1cccc2ccccc12,1-methylnaphthalene,0.0,31.8,-2.396373,9.177267,-1.590422
Clc1cccc2ccccc12,1-chloronaphthalene,0.0,30.5,-7.190993,10.2,-4.829563
O=c1[nH]nnc2ccccc12,"1,2,3-benzotriazin-4(1h)-one",0.0,90.6,11.8,144.0,-2.213893
c1ccc(Nc2cccc3ccccc23)cc1,n-phenyl-1-naphthalenamine,0.0,61.0,-18.7,40.5,-39.2
O=C1c2ccccc2Cc2ccccc21,anthrone,0.0,61.2,22.4,59.3,58.2
O=c1c2ccccc2oc2ccccc12,xanthone,0.0,61.7,25.0,67.2,66.8
C1=CCCC=CCC1,"1,5-cyclooctadiene",0.0,24.9,8.159923,12.0,8.361946
C[SiH2]C,dimethylsilane,0.0,12.0,-0.787962,2.178685,-0.310962
COc1cccc(OC)c1O,"2,6-dimethoxyphenol",0.0,67.9,12.1,70.6,16.8
N#Cc1ccccc1C#N,"1,2-benzenedicarbonitrile",0.0,68.0,15.4,58.4,25.9
COc1ccccc1OC,"1,2-dimethoxybenzene",0.0,54.1,20.7,46.1,44.8
