Unnamed: 0.1,Unnamed: 0,Name,smiles,Valid,sigma,m,epsilon_k,mu,Assoc_scheme,KAB,epsilonAB
10,10,Ethyne,C#C,True,3.279873976947679,1.525540968466967,139.17128833822267,0.0,2B,0.0,0.0
23,23,Ethylene,C=C,True,3.275100056806138,1.7358735047542937,160.63956637770687,0.0,2B,0.0,0.0
27,27,Methylamine,CN,True,3.188655851317721,1.891349999538232,180.7346736670092,1.3130658818201013,2B,0.2210788861073422,2711.8088204750525
28,28,Ethane,CC,True,3.23420444921873,1.974231341569072,170.70085134853863,0.0,2B,0.0,0.0
29,29,Dimethylamine,CNC,True,3.360027382110416,2.2392948522584404,197.63615007265784,1.0178228578686963,2B,0.2503962462487711,2591.1394056899685
30,30,Propylene,C=CC,True,3.416859140557815,2.143727776878362,176.9292661486078,0.365319805102324,2B,0.0,0.0
32,32,Dimethyl_ether,COC,True,3.2469981653929363,2.2477042368262814,201.29828486972585,1.3153,2B,0.0,0.0
33,33,Acetonitrile,CC#N,True,3.360416922792346,2.069717723387577,253.4557460216191,3.9199000025510857,2B,0.0,0.0
34,34,Propyne,C#CC,True,3.357004985650392,2.085962058468844,159.2761173976905,0.7284150533864604,2B,0.0,0.0
35,35,Ethylamine,CCN,True,3.3817497797155123,2.214502021220296,197.4814719920561,1.2805714700866953,2B,0.1704241042580795,2522.1554781773684
38,38,Cyanamide,N#CN,True,3.3234066501938235,1.941761148040154,338.8516782615395,4.7085,2B,2.7917877946819023,2511.751973711448
39,39,Formic_acid,O=CO,True,3.09907471715406,1.9655395823944823,338.1386122678331,3.848567525716549,2B,0.9742225922788604,2670.382818049996
40,40,Ethylene_oxide,C1CO1,True,3.222363040036259,1.9538246891069704,236.3428476424029,1.9121,2B,0.0,0.0
44,44,Acetaldehyde,CC=O,True,3.240893353771113,2.132400872066633,234.6073920831552,2.648272678558611,2B,0.0,0.0
47,47,Ethanol,CCO,True,3.27927250988583,2.2016264489417674,209.30310885005835,1.7360660500107707,2B,0.4558907875907609,2799.6603692614376
49,49,Formamide,NC=O,True,3.226230457093048,1.996098942498874,343.5987304779157,3.848863297130726,2B,1.3353390848032898,2606.3431624771656
50,50,Methyl_isocyanide,[C-]#[N+]C,True,3.395372345843359,2.088016525243501,271.53384933165137,4.152200002408362,2B,0.0,0.0
51,51,Cyclopropane,C1CC1,True,3.380537222100892,1.9855791140607493,222.4923808198878,0.0003162277660168,2B,0.0,0.0
53,53,Ethylenimine,C1CN1,True,3.361062853835181,1.9397232349791969,225.83506654669432,1.7068919620175145,2B,0.4005637209621537,2630.1102343450502
54,54,Propadiene,C=C=C,True,3.3337369869158286,2.0777628465088425,202.38093446194344,0.0,2B,0.0,0.0
55,55,Propane,CCC,True,3.419249722060064,2.2800358369092124,189.4543811500536,0.09,2B,0.0,0.0
59,59,Methylhydrazine,CNN,True,3.314413782361846,2.1488392064591784,230.4744834111765,1.7512841831067851,2B,0.1711740424285978,2731.312722750887
60,60,N-Methylhydroxylamine,CNO,True,3.123025941489228,2.15491058735238,237.83867672148605,0.7429674017075042,2B,0.4778268319565817,2635.3114560431704
61,61,o-Methylhydroxylamine,CON,True,3.08685987859557,2.208035360841666,244.3070847666404,0.4298716320019268,2B,0.3945565109103432,2549.0222172371964
63,63,Propionitrile,CCC#N,True,3.479516700326624,2.451711315573335,268.2472380087181,4.0178590057392505,2B,0.0,0.0
65,65,2-Propanol,CC(C)O,True,3.470911754799082,2.439644216453553,221.80176783098213,1.6930590775280112,2B,0.3419582296499732,2756.8342310447456
66,66,Hydroxy_acetonitrile,N#CCO,True,3.244486450109976,2.3537802533912635,252.9795149785601,2.9366593452424814,2B,1.3456860329401297,2403.9062965858984
67,67,1-Butene,C=CCC,True,3.5200682600888946,2.512017151953769,194.38033113035587,0.3600267351183798,2B,0.0,0.0
68,68,2-Methylpropane,CC(C)C,True,3.598082197972736,2.4746985960797563,208.8015306823688,0.1398000715307399,2B,0.0,0.0
70,70,Methyl_formate,COC=O,True,3.190205789432562,2.327328224611894,251.1964321895692,1.866292420817273,2B,0.3009371343355096,1415.1720851620494
72,72,Trimethylamine,CN(C)C,True,3.539379416871306,2.43133462808244,223.74645160577865,0.5867000426112137,2B,0.0,0.0
76,76,2-Butyne,CC#CC,True,3.3179639187265133,2.7125581482777834,196.8206841005569,0.0031336879231984,2B,0.0,0.0
77,77,Diacetylene,C#CC#C,True,3.3781220072467764,2.219618046039934,216.75816218031227,0.0,2B,0.0,0.0
80,80,Ethyl_isonitrile,[C-]#[N+]CC,True,3.518921827137227,2.449461890943109,285.0604957426864,4.290177026650532,2B,0.0,0.0
81,81,Cyclopropylamine,NC1CC1,True,3.487851949795995,2.255656268529321,234.24283483011325,1.1797943464858611,2B,0.2175862625831434,2526.0116171306854
82,82,3-Amino-1-propene,C=CCN,True,3.481650730431224,2.437729635956231,207.9915966474756,1.244850364501694,2B,0.1486629643687243,2647.68571524085
83,83,Methyl_ethyl_ether,CCOC,True,3.3580382043809176,2.6721828945853865,208.50003582973173,1.2235921665326237,2B,0.0,0.0
84,84,1-Buten-3-yne,C#CC=C,True,3.4431526589049075,2.3197901798701506,193.50893983990275,0.3336820342781433,2B,0.0,0.0
89,89,2-Propyn-1-ol,C#CCO,True,3.305964315727765,2.3744107198791484,209.02881042539727,1.47606213961337,2B,0.5427626809899467,2746.148463738607
90,90,2-Propen-1-ol,C=CCO,True,3.3982250605089983,2.413399744959425,218.54095530651577,1.652935140893314,2B,0.5110346767228957,2679.213410858198
91,91,Acrylonitrile,C=CC#N,True,3.4689611571561123,2.2920636981719174,279.4247033257403,3.861344445915179,2B,0.3273500668084396,1384.7481291431222
92,92,2-Hydroxyacetaldehyde,O=CCO,True,3.1479842505205893,2.404793157296904,244.9081729301456,1.6466610185463186,2B,0.3627404743525695,1839.8180330217915
93,93,Trimethyleneimine,C1CNC1,True,3.497447840284805,2.199406224431789,243.80706784802533,1.3645153901660472,2B,0.0854976062080926,2648.244122455644
94,94,Isopropylamine,CC(C)N,True,3.565364626674588,2.423548553638179,214.5290314445983,1.2447731078393365,2B,0.0876209790348753,2689.5330856416736
95,95,Ethylenediamine,NCCN,True,3.365511634283414,2.5045709958962554,253.506608797847,0.0,2B,0.2439341910221978,2565.752471896415
96,96,Methyl_vinyl_ether,C=COC,True,3.354112751995957,2.5363483346984736,222.3701948690045,1.7166524983234086,2B,0.0,0.0
97,97,N-Propylamine,CCCN,True,3.4919636649552728,2.577368816286273,207.4731878411889,1.219209227327287,2B,0.1240595022331295,2520.95777215642
100,100,Nitromethane,C[N+](=O)[O-],True,3.203112073901978,2.2658182137253418,336.8384421554844,3.464661930116703,2B,0.3812068669405518,1362.928832131832
107,107,1-Propanol,CCCO,True,3.41973725446142,2.556640903284695,218.2199242648676,1.7805100673683372,2B,0.4304119888928314,2743.409770542064
108,108,Ammonium_azide,[N-]=[N+]=[N-].[NH4+],True,3.1462038657262466,3.080873519482976,352.20331655385746,4.686176836185336,2B,2.625435798703577,2925.290699411366
109,109,N-Methylethylamine,CCNC,True,3.4631360539700693,2.6297037490889146,206.8678607436588,0.9735932107405022,2B,0.1261360908506092,2577.1173653097844
110,110,1-Butyne,C#CCC,True,3.4658727170888883,2.471718237830448,180.263410536732,0.7340849405893026,2B,0.0,0.0
112,112,cis-2-Butene,C/C=C\C,True,3.533680713014125,2.455830210378733,197.937449923532,0.2918787076852301,2B,0.0,0.0
115,115,trans-2-Butene,C/C=C/C,True,3.4555885223436613,2.614663367508019,198.90177602376303,0.0646796722316988,2B,0.0,0.0
116,116,Isobutylene,C=C(C)C,True,3.576114238750969,2.3917257067352136,198.30730928874456,0.4854,2B,0.0,0.0
117,117,Cyclobutane,C1CCC1,True,3.526038270285491,2.23825044233253,246.1688069402432,0.0,2B,0.0,0.0
119,119,Cyclobutene,C1=CCC1,True,3.5022923227641685,2.1328891698542543,238.8714397352102,0.1409,2B,0.0,0.0
120,120,Acetaldoxime,CC=NO,True,3.2122987474203604,2.4800396999989447,237.1489161429242,0.8554173835035151,2B,0.5785318721634567,2975.3014634873366
122,122,Propanal,CCC=O,True,3.397653443331852,2.492375211529444,246.8352988874888,2.851369642820797,2B,0.0,0.0
123,123,Methyl_cyclopropane,CC1CC1,True,3.512283026720088,2.3410930301298336,225.84508735330652,0.1462543674561549,2B,0.0,0.0
125,125,Oxetane,C1COC1,True,3.408703220919099,2.215200966753074,253.25520750807704,2.030500088648114,2B,0.0,0.0
126,126,Acetone,CC(C)=O,True,3.412696126291068,2.4482915414711126,244.8256560029924,2.767300045170382,2B,0.0,0.0
127,127,Acetic_acid,CC(=O)O,True,3.3162718383415752,2.3113556941439706,348.33812404283924,4.269942544109933,2B,0.7278181813528264,2692.99567176714
131,131,Monoethanolamine,NCCO,True,3.3379230143941023,2.486947603014764,238.7377064279584,1.656609773000268,2B,0.3611367711275993,2128.6246786064503
