Unnamed: 0.1,Unnamed: 0,Name,smiles,Valid,sigma,m,epsilon_k,mu,Assoc_scheme,KAB,epsilonAB
946,946,3-Methyl-1-pentanol,CCC(C)CCO,True,3.769660885841642,3.2674855814715755,249.04696454591016,1.9135113299899744,2B,0.0,0.0
1851,1851,2-Methyl-4-heptanol,CCCC(O)CC(C)C,True,3.797756499690248,4.050056320183271,246.12882717457464,1.3438739859079052,2B,0.0,0.0
1852,1852,5-Methyl-3-heptanol,CCC(C)CC(O)CC,True,3.910204013116028,3.705884911915729,261.1144280422875,1.5103133549035446,2B,0.3141826447437381,2638.4493171128324
235,235,trans-Crotonaldehyde,C/C=C/C=O,True,3.4885732494581907,2.7916595198019403,311.38798667853985,3.884071815762422,2B,0.0,0.0
236,236,1-Butanol-D,CCCCO,True,3.5047151360976683,2.945454891528562,224.0350412775196,1.8021884723857269,2B,0.471719200465524,2725.7302685795
1861,1861,.alpha.-Monoacetin,CC(=O)OCC(O)CO,True,3.587222933420525,3.651572003943593,348.2414122559237,3.904422798570872,,,
241,241,X+Y-Neomenthyl_formate,CCOC=O,True,3.352838716014036,2.6615545448024944,253.75457850348675,1.9589666791449007,2B,0.2475730775569424,1428.7440681568423
245,245,Glycine,NCC(=O)O,True,3.462175436281279,2.473629244802442,437.1420772731765,5.4326441674381725,,,
972,972,Hept-6-en-1-ol,C=CCCCCCO,True,3.622224573156808,4.046943794695699,234.36079223055012,1.6246151667394957,2B,0.0,0.0
1897,1897,1-Methylcytosine,Cn1ccc(N)nc1=O,True,3.795264180933672,3.0549956041308093,563.6946191440538,5.9439176870141806,2B,0.0,0.0
981,981,MethylbicycloX2.2.1Yhept-2-ene,CC12C=CC(CC1)C2,True,3.964110899677787,2.691353588571461,295.52089520817947,0.3328070011282815,,,
1910,1910,trans-Octahydro-1H-indene,C1CCC2CCCC2C1,True,4.022521688482525,3.031732579018976,304.29528977149687,0.1148000435539987,2B,0.0,0.0
267,267,Formic_acid_ethyl_ester,CCOC=O,True,3.352073371615658,2.6636756770814563,253.7328975047882,1.959502003060981,2B,0.2475730775569424,1428.7440681568423
1911,1911,cis-Octahydro-1H-indene,C1CCC2CCCC2C1,True,4.022521688482525,3.031732579018976,304.29528977149687,0.1148000435539987,2B,0.0,0.0
1915,1915,X+Y-5-Methylheptan-1-ol,CCC(C)CCCCO,True,3.7540116159009775,4.207940468495931,243.59126989564683,1.526525024360885,2B,0.4311222713160419,2760.5368079414225
1918,1918,.zeta.-Heptanolactone,O=C1CCCCCCO1,True,3.9406522139247793,3.070089266611653,398.5915171119936,4.6424206035214,,,
997,997,5-Methyl-3-hexanol,CCC(O)CC(C)C,True,3.79494222283936,3.61957145011001,245.6655367542116,1.4502791041727106,2B,0.0,0.0
1919,1919,Propylene_glycol_2-tert-butyl_ether,CC(O)COC(C)(C)C,True,3.825404213545404,3.728788392434432,282.62497417725933,2.5948442843454016,2B,0.0,0.0
1937,1937,2-tert.-Butylfuran,CC(C)(C)c1ccco1,True,3.860339350587575,3.2132866796171715,288.94483837521034,0.4898406781801609,,,
301,301,Polyethyleneglycoldimethylether,COCCOC,True,3.325483283320608,3.479454582075064,254.93984562161828,0.0019,2B,0.0,0.0
311,311,Methyl_tert.butyl_amine,CNC(C)(C)C,True,3.828120997512496,2.784505767075093,237.8617017557385,0.9109463705400004,,,
1966,1966,alpha.-Phenylethanol,CC(O)c1ccccc1,True,3.868304609626222,3.104373655800777,297.4132912726037,1.6946344355051917,,,
1053,1053,Propylammonium_nitrate,CCC[NH3+].O=[N+]([O-])[O-],True,3.628551870531497,3.78809357248612,684.7042097805768,9.34287499327696,2B,0.0,0.0
333,333,Dinitrogen_tetroxide,O=[N+]([O-])[N+](=O)[O-],True,2.89766170961302,2.6688126327905497,499.6442916796882,0.0012727922061357,2B,0.0,0.0
336,336,Propylene_glycol_monomethyl_ether,COCC(C)O,True,3.5317113225838663,3.076637170561636,261.334371004016,2.381366912090617,2B,0.1913741431263725,2391.463951159389
1065,1065,2-Methyl-2-hexanol,CCCCC(C)(C)O,True,3.7900240048511855,3.640216729175556,245.14241889609343,1.5334589593464836,,,
1068,1068,4-Methyl-2-hexanone,CCC(C)CC(C)=O,True,3.788877732766327,3.549445653625643,259.80123658308355,2.513148324313549,2B,0.0,0.0
354,354,beta-Alanine,NCCC(=O)O,True,3.454813186694087,2.952062829171502,328.29882976032843,3.672321757417234,,,
356,356,Dimethylene_glycol_dimethyl_ether,COCCOC,True,3.4163930877927977,3.364134011687645,241.0137986150608,1.6869833579499236,2B,0.0,0.0
