smiles_1,associating,m,sigma,epsilon_k,mu,epsilonAB,KAB,total_residual,mean_residual,max_residual,m_error,sigma_error,epsilon_k_error,mu_error,epsilonAB_error,KAB_error,#DDB
[Cs],False,1.669107325171934,4.999999999219062,999.9999910638238,0.0,0.0,0.0,48.83543877006035,0.15454252775335553,0.5,0.15981097169654646,1.1482964287343713,216.35086056976021,0,0.0,0,3257
S,False,1.5851023761286531,3.074531068296177,235.8426211751546,0.1694856882095337,0.0,0.0,13.683729158623699,0.028627048449003555,0.5,0.04242927421807548,0.015812747554228693,4.289283560075248,0,0.0,0,1065
N,True,1.0000000017635702,3.287027020163475,320.2108430846937,0.14660491049289703,1075.6786877981833,0.01,33.988242400552885,0.018127062613628207,0.5,0.012876558057249491,0.03151437639007897,2.659948228308046,0,7.834209731452896,0,210
[AsH3],False,1.0593996399665415,3.9370836144698633,289.4434243602399,0.044473566114902496,0.0,0.0,4.039572073508774,0.05049465091885967,0.5,0.07386450632654612,0.09987937588566861,11.299941103132612,0,0.0,0,2427
F,False,1.0031855482033551,2.965775461745728,467.6943174893169,0.08516847342252731,0.0,0.0,27.8473520782268,0.059758266262289264,0.5,0.03047511388391031,0.019383798031588736,8.883627178003943,0,0.0,0,90
P,False,1.232460308533201,3.6115681709162644,231.92779457941535,0.03649383410811424,0.0,0.0,0.23083842126728138,0.012824356737071187,0.5,0.017123932061136892,0.024924138423300272,1.518363494863912,0,0.0,0,2093
